epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1587,1.56887,2.00365,1.54439,0.58055,0.43611,0.46489,0.28107,1.43164,1.67399,1.40284,0.000331832,0.000331832,0.0671486
2,148.686,1.53827,1.61898,1.54396,0.60504,0.48432,0.50683,0.25221,1.62897,1.77841,1.52967,0.000661873,0.000661873,0.0341454
3,221.918,1.57698,1.61372,1.57891,0.66923,0.50641,0.54147,0.33629,1.32311,1.47706,1.35675,0.000988613,0.000988613,0.00113876
4,295.504,1.5306,1.53979,1.53653,0.75899,0.53315,0.58221,0.32694,1.54285,1.29944,1.44731,0.00098515,0.00098515,0.00098515
5,369.59,1.48141,1.44011,1.51375,0.78553,0.56041,0.63195,0.38531,1.35408,1.163,1.33034,0.0009802,0.0009802,0.0009802
6,443.171,1.45803,1.38178,1.48651,0.82076,0.54087,0.61442,0.3697,1.40852,1.21038,1.37586,0.00097525,0.00097525,0.00097525
7,516.116,1.41761,1.28992,1.46308,0.78833,0.58464,0.65596,0.43041,1.19311,1.00579,1.24982,0.0009703,0.0009703,0.0009703
8,588.97,1.40165,1.26455,1.44536,0.78283,0.56731,0.65392,0.41887,1.23852,0.98444,1.25957,0.00096535,0.00096535,0.00096535
9,661.591,1.39571,1.22505,1.44136,0.7994,0.57067,0.64472,0.42876,1.17801,1.03374,1.22244,0.0009604,0.0009604,0.0009604
10,734.727,1.37523,1.18328,1.42427,0.85043,0.6238,0.69578,0.45034,1.21411,0.89603,1.24885,0.00095545,0.00095545,0.00095545
11,807.852,1.35195,1.16893,1.42289,0.79912,0.6297,0.68357,0.42371,1.24191,0.96002,1.26183,0.0009505,0.0009505,0.0009505
12,881.256,1.34966,1.14332,1.40265,0.83079,0.60213,0.67299,0.43954,1.13264,0.95066,1.24119,0.00094555,0.00094555,0.00094555
13,953.896,1.30099,1.10854,1.38482,0.8716,0.62645,0.7029,0.45256,1.18377,0.8536,1.22631,0.0009406,0.0009406,0.0009406
14,1026.77,1.30203,1.0988,1.36439,0.85165,0.65084,0.70477,0.47286,1.014,0.88001,1.17026,0.00093565,0.00093565,0.00093565
15,1099.97,1.2633,1.04447,1.34924,0.8546,0.62485,0.70599,0.46823,1.17615,0.82551,1.20514,0.0009307,0.0009307,0.0009307
16,1172.52,1.26225,1.04408,1.34973,0.84111,0.68508,0.73182,0.50444,1.04977,0.77072,1.15871,0.00092575,0.00092575,0.00092575
17,1245.33,1.26605,1.03619,1.3614,0.85404,0.6441,0.72549,0.48342,1.122,0.82649,1.20716,0.0009208,0.0009208,0.0009208
18,1317.81,1.24031,1.01101,1.33097,0.8958,0.65475,0.7376,0.49518,1.12572,0.77391,1.17603,0.00091585,0.00091585,0.00091585
19,1390.44,1.20475,0.99144,1.31745,0.90704,0.64715,0.7297,0.49478,1.07288,0.7344,1.1482,0.0009109,0.0009109,0.0009109
20,1462.85,1.21692,0.99133,1.32164,0.84481,0.59958,0.68505,0.47506,1.06246,0.84108,1.16025,0.00090595,0.00090595,0.00090595
21,1535.23,1.24406,1.00064,1.32614,0.90988,0.64709,0.73454,0.50115,1.05092,0.75882,1.14978,0.000901,0.000901,0.000901
22,1607.95,1.19188,0.93744,1.29851,0.88017,0.64882,0.72957,0.52105,0.94432,0.73684,1.13245,0.00089605,0.00089605,0.00089605
23,1680.39,1.17367,0.91949,1.2863,0.91976,0.64001,0.73294,0.49227,1.11919,0.74157,1.16337,0.0008911,0.0008911,0.0008911
24,1752.91,1.16605,0.91834,1.28096,0.88106,0.66443,0.73273,0.51587,0.94101,0.75255,1.11253,0.00088615,0.00088615,0.00088615
25,1829.31,1.17921,0.9401,1.29802,0.90725,0.67207,0.7457,0.53466,0.94267,0.69714,1.10192,0.0008812,0.0008812,0.0008812
26,1902.08,1.14178,0.8987,1.26152,0.90141,0.6589,0.74541,0.52692,0.99142,0.68507,1.10691,0.00087625,0.00087625,0.00087625
27,1974.7,1.15385,0.908,1.27144,0.84563,0.69138,0.74259,0.52576,0.94735,0.70774,1.1112,0.0008713,0.0008713,0.0008713
28,2047.34,1.14625,0.89571,1.26514,0.86247,0.67524,0.73206,0.502,1.06079,0.70803,1.14154,0.00086635,0.00086635,0.00086635
29,2120.19,1.14669,0.88716,1.26112,0.89084,0.67365,0.74859,0.53279,0.90194,0.66218,1.08914,0.0008614,0.0008614,0.0008614
30,2193.67,1.12376,0.86466,1.26073,0.88253,0.69592,0.75425,0.53301,0.90885,0.65091,1.09353,0.00085645,0.00085645,0.00085645
31,2266.68,1.15331,0.88227,1.26844,0.88305,0.67901,0.75332,0.54505,0.93973,0.64133,1.10091,0.0008515,0.0008515,0.0008515
32,2339.56,1.11253,0.85557,1.24387,0.88521,0.66715,0.75066,0.54039,0.93146,0.68605,1.09857,0.00084655,0.00084655,0.00084655
33,2412.41,1.0935,0.85789,1.23864,0.90746,0.65653,0.75161,0.54514,0.89369,0.63247,1.08057,0.0008416,0.0008416,0.0008416
34,2485.19,1.07338,0.82583,1.22387,0.86293,0.68334,0.74666,0.55105,0.86906,0.65587,1.07094,0.00083665,0.00083665,0.00083665
35,2557.8,1.04667,0.82173,1.22271,0.90125,0.67356,0.75227,0.55003,0.87602,0.64008,1.07993,0.0008317,0.0008317,0.0008317
36,2630.29,1.03758,0.8166,1.19961,0.9054,0.66976,0.75107,0.5485,0.89853,0.65742,1.08439,0.00082675,0.00082675,0.00082675
37,2703.95,1.02686,0.8158,1.19443,0.9001,0.67447,0.75535,0.54313,0.96744,0.63397,1.08244,0.0008218,0.0008218,0.0008218
38,2777.19,1.01676,0.79387,1.18609,0.91104,0.67625,0.76464,0.5669,0.81331,0.60296,1.0337,0.00081685,0.00081685,0.00081685
39,2850.67,1.0187,0.78684,1.18467,0.91931,0.68523,0.771,0.55355,0.93366,0.62596,1.06893,0.0008119,0.0008119,0.0008119
40,2923.56,0.99075,0.79644,1.18214,0.88304,0.69423,0.76212,0.5635,0.85767,0.62761,1.04838,0.00080695,0.00080695,0.00080695
41,2996.52,0.97723,0.76148,1.16451,0.896,0.6809,0.76213,0.56558,0.86929,0.60662,1.04596,0.000802,0.000802,0.000802
